number,title,author
60354,Ruy Blas: Drame,Victor Hugo
45013,Cours familier de Littérature - Volume 18,Alphonse de Lamartine
6497,L'Assommoir,Émile Zola
13838,"Correspondance, 1812-1876 — Tome 3",George Sand
18075,Mademoiselle La Quintinie,George Sand
37608,Cours familier de Littérature - Volume 15,Alphonse de Lamartine
2650,Du côté de chez Swann,Marcel Proust
48359,"OEuvres complètes de Gustave Flaubert, tome 1 (of 8): Madame Bovary",Gustave Flaubert
37630,Cours familier de Littérature - Volume 20,Alphonse de Lamartine
41079,Cours familier de Littérature - Volume 21,Alphonse de Lamartine
9644,Littérature et Philosophie mêlées,Victor Hugo
56808,La vérité en marche: L'affaire Dreyfus,Émile Zola
18028,Le chevalier d'Harmental,Alexandre Dumas
8561,Une page d'amour,Émile Zola
13837,"Correspondance, 1812-1876 — Tome 2",George Sand
51423,Œuvres complètes de Guy de Maupassant - volume 07,Guy de Maupassant
17494,Les misérables Tome III: Marius,Victor Hugo
17493,Les misérables Tome II: Cosette,Victor Hugo
28623,Le poëme de Myrza - Hamlet,George Sand
13653,Elle et lui,George Sand
13839,"Correspondance, 1812-1876 — Tome 5",George Sand
45012,Cours familier de Littérature - Volume 02,Alphonse de Lamartine
17831,La Débâcle,Émile Zola
14688,Un hiver à Majorque,George Sand
7771,Les Quarante-Cinq — Tome 2,Alexandre Dumas
4968,Les Cinq Cents Millions De La Bégum,Jules Verne
14287,L'île mystérieuse,Jules Verne
7173,Sur la pierre blanche,Anatole France
8907,Pot-Bouille,Émile Zola
8560,Le Docteur Pascal,Émile Zola
13263,Valvèdre,George Sand
5081,Les Indes Noires,Jules Verne
9645,Quatrevingt-Treize,Victor Hugo
40195,Cours familier de Littérature - Volume 13,Alphonse de Lamartine
15397,Francia; Un bienfait n'est jamais perdu,George Sand
13818,Jacques,George Sand
46470,Œuvres complètes de Guy de Maupassant - volume 04,Guy de Maupassant
9639,La dame de Monsoreau — Tome 3.,Alexandre Dumas
9262,Le corricolo,Alexandre Dumas
49409,Cours familier de Littérature - Volume 27,Alphonse de Lamartine
9637,La dame de Monsoreau — ­Tome 1.,Alexandre Dumas
37617,Cours familier de Littérature - Volume 17,Alphonse de Lamartine
14806,La Jangada: Huit cent lieues sur l'Amazone,Jules Verne
8524,L'Île Des Pingouins,Anatole France
67158,Œuvres complètes de Guy de Maupassant - volume 18,Guy de Maupassant
5250,Nana,Émile Zola
5096,20000 Lieues sous les mers — Part 2,Jules Verne
18006,Le Chevalier de Maison-Rouge,Alexandre Dumas
13628,La Esmeralda,Victor Hugo
26504,La tulipe noire,Alexandre Dumas
34451,Paris,Émile Zola
57567,Œuvres complètes de Guy de Maupassant - volume 14,Guy de Maupassant
69098,Les dames vertes,George Sand
12999,Le Côté de Guermantes - Deuxième partie,Marcel Proust
45058,Les tribulations d'un chinois en Chine,Jules Verne
25981,Les beaux messieurs de Bois-Doré,George Sand
18205,Simon,George Sand
2682,Henri III et sa Cour,Alexandre Dumas
37616,Cours familier de Littérature - Volume 16,Alphonse de Lamartine
12338,Contes d'une grand-mère,George Sand
49408,Cours familier de Littérature - Volume 26,Alphonse de Lamartine
60720,La Prisonnière (Sodome et Gomorrhe III),Marcel Proust
18401,"La San-Felice, Tome 02",Alexandre Dumas
9638,La dame de Monsoreau — Tome 2.,Alexandre Dumas
37076,Cours familier de Littérature - Volume 09,Alphonse de Lamartine
13819,Les compagnons de Jéhu,Alexandre Dumas
13025,La Marquise,George Sand
15584,Jean Ziska: épisode de la guerre des Hussites,George Sand
11927,Aventures du Capitaine Hatteras,Jules Verne
12533,Sans dessus dessous,Jules Verne
41056,Cours familier de Littérature - Volume 19,Alphonse de Lamartine
13875,"Correspondance, 1812-1876 — Tome 4",George Sand
30831,Le Piccinino,George Sand
20254,Les maîtres sonneurs,George Sand
12534,"Le péché de Monsieur Antoine, Tome 2",George Sand
13629,"Correspondance, 1812-1876 — Tome 1",George Sand
15388,Leone Leoni,George Sand
5097,20000 Lieues Sous Les Mers — Complete,Jules Verne
11450,Fort comme la mort,Guy de Maupassant
17798,L'île à hélice,Jules Verne
40239,"Le Rhin, Tome IV",Victor Hugo
12448,L'Orco,George Sand
8863,Le Speronare,Alexandre Dumas
66505,"OEuvres complètes de Gustave Flaubert, tome 7: Bouvard et Pécuchet",Gustave Flaubert
16827,Le village aérien,Jules Verne
10775,Le Horla,Guy de Maupassant
11495,La Main Gauche,Guy de Maupassant
17796,Le pays des fourrures,Jules Verne
28977,Cadio,George Sand
7442,Michel Strogoff: De Moscou a Irkoutsk,Jules Verne
17557,Son Excellence Eugène Rougon,Émile Zola
17990,"Le comte de Monte-Cristo, Tome II",Alexandre Dumas
14372,Autour de la table,George Sand
30917,Cours familier de Littérature - Volume 04,Alphonse de Lamartine
22048,Napoléon Le Petit,Victor Hugo
36477,Les Dieux ont soif,Anatole France
13592,L'Uscoque,George Sand
5126,Robur-le-conquérant,Jules Verne
12447,Pauline,George Sand
15239,Spiridion,George Sand
42765,"Histoire de ma Vie, Livre 3 (Vol. 10 - 13)",George Sand
26476,"Création et rédemption, deuxième partie: La fille du marquis",Alexandre Dumas
16826,Face au drapeau,Jules Verne
15208,Les mille et un fantômes,Alexandre Dumas
68036,Œuvres complètes de Guy de Maupassant - volume 20,Guy de Maupassant
19233,"Les opinions de M. Jérôme Coignard
Recueillies par Jacques Tournebroche",Anatole France
22618,Cours familier de Littérature - Volume 01,Alphonse de Lamartine
6994,Han d'Islande,Victor Hugo
19657,Notre-Dame de Paris,Victor Hugo
30918,Cours familier de Littérature - Volume 05,Alphonse de Lamartine
50664,Clio,Anatole France
12889,Promenades autour d'un village,George Sand
17533,Le Rêve,Émile Zola
43889,La Coupe; Lupo Liverani; Le Toast; Garnier; Le Contrebandier; La Rêverie à Paris,George Sand
13952,Vingt ans après,Alexandre Dumas
18586,"La San-Felice, Tome 04",Alexandre Dumas
52753,Œuvres complètes de Guy de Maupassant - volume 08,Guy de Maupassant
42151,"Le Rhin, Tome II",Victor Hugo
67024,Œuvres complètes de Guy de Maupassant - volume 16,Guy de Maupassant
41986,"Le Rhin, Tome I",Victor Hugo
17991,"Le comte de Monte-Cristo, Tome III",Alexandre Dumas
60450,Les naufragés du Jonathan,Jules Verne
16286,Lucrezia Floriani,George Sand
37771,Le comte de Moret,Alexandre Dumas
13948,"Le vicomte de Bragelonne, Tome II.",Alexandre Dumas
14163,Les enfants du capitaine Grant,Jules Verne
800,Le tour du monde en quatre-vingts jours,Jules Verne
12869,Metella,George Sand
60812,Adriani,George Sand
17518,Les misérables Tome IV: L'idylle rue Plumet et l'épopée rue Saint-Denis,Victor Hugo
17516,L'Argent,Émile Zola
25276,Cours familier de Littérature - Volume 03,Alphonse de Lamartine
14155,Madame Bovary,Gustave Flaubert
49397,Cours familier de Littérature - Volume 23,Alphonse de Lamartine
17589,Journal d'un voyageur pendant la guerre,George Sand
58211,"Les trois mousquetaires, Volume 2 (of 2)",Alexandre Dumas
29843,"Les contemplations: Autrefois, 1830-1843",Victor Hugo
12666,"Consuelo, Tome 1 (1861)",George Sand
57430,Œuvres complètes de Guy de Maupassant - volume 13,Guy de Maupassant
64427,"Albertine disparue Vol 1 (of 2)
À la recherche du temps perdu, Tome 7",Marcel Proust
29844,"Les contemplations: Aujourd'hui, 1843-1856",Victor Hugo
17914,Mistress Branican,Jules Verne
49399,Cours familier de Littérature - Volume 25,Alphonse de Lamartine
3456,Le tour du monde en quatre-vingts jours,Jules Verne
8416,Nouveaux Contes à Ninon,Émile Zola
7461,Thérèse Raquin,Émile Zola
5104,Histoire d'un casse-noisette,Alexandre Dumas
12065,Trois contes,Gustave Flaubert
17517,L'oeuvre,Émile Zola
15075,Sodome et Gomorrhe - Deuxième partie,Marcel Proust
38736,Cours familier de Littérature - Volume 11,Alphonse de Lamartine
13947,"Le vicomte de Bragelonne, Tome I.",Alexandre Dumas
57454,"Mémoires de Garibaldi, tome 2/2",Alexandre Dumas
17519,Les misérables Tome V: Jean Valjean,Victor Hugo
14162,Les tribulations d'un chinois en Chine,Jules Verne
13949,"Le vicomte de Bragelonne, Tome III.",Alexandre Dumas
64428,"Albertine disparue Vol 2 (of 2)
À la recherche du temps perdu, Tome 7",Marcel Proust
27314,Cours familier de Littérature - Volume 06,Alphonse de Lamartine
46111,Autour de la lune,Jules Verne
46747,Gabriel Lambert,Alexandre Dumas
15646,Nord contre sud,Jules Verne
21017,"La San-Felice, Tome 08, Emma Lyonna, tome 4",Alexandre Dumas
18353,La petite roque,Guy de Maupassant
49398,Cours familier de Littérature - Volume 24,Alphonse de Lamartine
14793,La vie errante,Guy de Maupassant
53439,Les voyageurs du XIXe siècle,Jules Verne
6319,Bric-à-brac,Alexandre Dumas
14564,Césarine Dietrich,George Sand
48881,"OEuvres complètes de Gustave Flaubert, tome 2: Salammbô",Gustave Flaubert
13892,Le meunier d'Angibault,George Sand
49446,Cours familier de Littérature - Volume 28,Alphonse de Lamartine
13866,"Le Naturalisme au théâtre, les théories et les exemples",Émile Zola
18826,"La San-Felice, Tome 06",Alexandre Dumas
13857,La reine Margot - Tome II,Alexandre Dumas
41080,Cours familier de Littérature - Volume 22,Alphonse de Lamartine
33692,Vie de Jeanne d'Arc. Vol. 1 de 2,Anatole France
17251,Valentine,George Sand
39738,Lélia,George Sand
21191,"La San-Felice, Tome 09, Emma Lyonna, tome 5",Alexandre Dumas
11199,Claire de Lune,Guy de Maupassant
11596,La Maison Tellier,Guy de Maupassant
6838,Le Dernier Jour d'un Condamné,Victor Hugo
67940,Œuvres complètes de Guy de Maupassant - volume 19,Guy de Maupassant
61411,Le beau Laurence,George Sand
4791,Voyage au Centre de la Terre,Jules Verne
33693,Vie de Jeanne d'Arc. Vol. 2 de 2,Anatole France
5082,Le chateâu des Carpathes,Jules Verne
13431,André,George Sand
8563,La Terre,Émile Zola
13258,"Consuelo, Tome 2 (1861)",George Sand
13856,La reine Margot - Tome I,Alexandre Dumas
5423,L'homme Qui Rit,Victor Hugo
66834,Victor Hugo à vingt ans: Glanes romantiques,Victor Hugo
52893,"OEuvres complètes de Gustave Flaubert, tome 4: L'éducation sentimentale, v. 2",Gustave Flaubert
11131,Pierre et Jean,Guy de Maupassant
56054,"Les trois mousquetaires, Volume  1 (of 2)",Alexandre Dumas
17832,Une ville flottante,Jules Verne
13668,Le château des Désertes,George Sand
37604,Cours familier de Littérature - Volume 10,Alphonse de Lamartine
17693,"La San-Felice, Tome 01",Alexandre Dumas
7772,Les Quarante-Cinq — Tome 3,Alexandre Dumas
38674,"De la terre à la lune, trajet direct en 97 heures 20 minutes",Jules Verne
17660,L'archipel en feu,Jules Verne
11597,Mademoiselle Fifi: nouveaux contes,Guy de Maupassant
