number,title,author,length,year,group,chunk_numbers,trainortest
12666,"Consuelo, Tome 1 (1861)",George Sand,620108.0,1861.0,Consuelo,385.0,valid1
57430,Œuvres complètes de Guy de Maupassant - volume 13,Guy de Maupassant,650131.0,1902.0,57430,411.0,test
64427,"Albertine disparue Vol 1 (of 2) À la recherche du temps perdu, Tome 7",Marcel Proust,325095.0,1925.0,Recherche,187.0,valid4
29844,"Les contemplations: Aujourd'hui, 1843-1856",Victor Hugo,285418.0,1843.0,contemplations,173.0,valid2
17914,Mistress Branican,Jules Verne,723987.0,1891.0,17914,456.0,valid4
49399,Cours familier de Littérature - Volume 25,Alphonse de Lamartine,460999.0,1868.0,49399,284.0,valid4
8416,Nouveaux Contes à Ninon,Émile Zola,305426.0,,Ninon,191.0,valid1
7461,Thérèse Raquin,Émile Zola,402958.0,,7461,253.0,valid3
5104,Histoire d'un casse-noisette,Alexandre Dumas,252315.0,,5104,150.0,valid2
17517,L'oeuvre,Émile Zola,793727.0,1886.0,17517,503.0,valid4
15075,Sodome et Gomorrhe - Deuxième partie,Marcel Proust,621884.0,,Recherche,375.0,valid4
38736,Cours familier de Littérature - Volume 11,Alphonse de Lamartine,512559.0,1861.0,38736,313.0,test
13947,"Le vicomte de Bragelonne, Tome I.",Alexandre Dumas,1004809.0,1848.0,mousquetaires,639.0,valid4
57454,"Mémoires de Garibaldi, tome 2/2",Alexandre Dumas,292345.0,,Garibaldi,179.0,test
17519,Les misérables Tome V: Jean Valjean,Victor Hugo,625332.0,1862.0,misérables,393.0,valid1
14162,Les tribulations d'un chinois en Chine,Jules Verne,355437.0,1875.0,14162,221.0,valid4
13949,"Le vicomte de Bragelonne, Tome III.",Alexandre Dumas,883422.0,1848.0,mousquetaires,563.0,valid4
64428,"Albertine disparue Vol 2 (of 2) À la recherche du temps perdu, Tome 7",Marcel Proust,302486.0,1925.0,Recherche,172.0,valid4
27314,Cours familier de Littérature - Volume 06,Alphonse de Lamartine,493847.0,1858.0,27314,307.0,valid4
46747,Gabriel Lambert,Alexandre Dumas,370058.0,1875.0,46747,231.0,valid1
15646,Nord contre sud,Jules Verne,655230.0,1887.0,15646,417.0,valid4
21017,"La San-Felice, Tome 08, Emma Lyonna, tome 4",Alexandre Dumas,357838.0,1876.0,San-Felice,220.0,valid1
49398,Cours familier de Littérature - Volume 24,Alphonse de Lamartine,677916.0,1867.0,49398,397.0,valid3
53439,Les voyageurs du XIXe siècle,Jules Verne,942808.0,,53439,594.0,valid4
6319,Bric-à-brac,Alexandre Dumas,290234.0,,6319,179.0,valid4
14564,Césarine Dietrich,George Sand,456476.0,1897.0,14564,288.0,valid4
48881,"OEuvres complètes de Gustave Flaubert, tome 2: Salammbô",Gustave Flaubert,675700.0,1885.0,48881,432.0,valid2
13892,Le meunier d'Angibault,George Sand,645256.0,,13892,406.0,valid4
49446,Cours familier de Littérature - Volume 28,Alphonse de Lamartine,338173.0,1869.0,49446,207.0,valid4
13866,"Le Naturalisme au théâtre, les théories et les exemples",Émile Zola,630524.0,,13866,401.0,valid4
18826,"La San-Felice, Tome 06",Alexandre Dumas,372790.0,1882.0,San-Felice,229.0,valid1
13857,La reine Margot - Tome II,Alexandre Dumas,575097.0,1845.0,Valois,362.0,valid4
41080,Cours familier de Littérature - Volume 22,Alphonse de Lamartine,548784.0,1866.0,41080,325.0,valid4
17251,Valentine,George Sand,560381.0,1832.0,17251,356.0,test
39738,Lélia,George Sand,918199.0,1867.0,39738,585.0,valid2
21191,"La San-Felice, Tome 09, Emma Lyonna, tome 5",Alexandre Dumas,354931.0,1876.0,San-Felice,219.0,valid1
6838,Le Dernier Jour d'un Condamné,Victor Hugo,198880.0,1802.0,6838,119.0,valid3
67940,Œuvres complètes de Guy de Maupassant - volume 19,Guy de Maupassant,305007.0,1902.0,67940,189.0,valid4
61411,Le beau Laurence,George Sand,367924.0,1872.0,61411,230.0,valid4
4791,Voyage au Centre de la Terre,Jules Verne,418716.0,1863.0,4791,265.0,valid2
5082,Le chateâu des Carpathes,Jules Verne,310287.0,,5082,190.0,valid1
13431,André,George Sand,370138.0,,13431,233.0,valid4
8563,La Terre,Émile Zola,979327.0,,8563,627.0,valid4
13258,"Consuelo, Tome 2 (1861)",George Sand,639294.0,1861.0,Consuelo,403.0,valid1
13856,La reine Margot - Tome I,Alexandre Dumas,629075.0,1845.0,Valois,395.0,valid4
5423,L'homme Qui Rit,Victor Hugo,1195178.0,1869.0,5423,765.0,valid4
52893,"OEuvres complètes de Gustave Flaubert, tome 4: L'éducation sentimentale, v. 2",Gustave Flaubert,458173.0,1885.0,education,290.0,test
17832,Une ville flottante,Jules Verne,250970.0,1871.0,17832,156.0,test
13668,Le château des Désertes,George Sand,294819.0,,13668,183.0,valid2
